Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc	Test Loss	Test Acc	
0.715935	0.713390	0.007669	1.970465	27.283654	2.017381	27.971082	
0.534917	0.528234	0.005951	1.689131	19.250801	1.666037	16.716418	
0.500954	0.491004	0.005328	1.429627	12.880609	1.387814	11.012127	
0.487667	0.475300	0.004703	1.179593	17.387821	1.170086	15.736940	
0.500731	0.485651	0.004485	0.957074	30.228365	0.962879	28.120336	
0.484304	0.466388	0.004317	0.726035	70.472756	0.723751	70.704291	
0.499662	0.478419	0.004379	0.574377	88.100962	0.569051	88.777985	
0.474634	0.454329	0.003621	0.472278	90.584936	0.449504	91.487873	
0.492783	0.467750	0.003939	0.381271	93.028846	0.347560	92.943097	
0.486453	0.464010	0.003161	0.333265	93.569712	0.286993	93.722015	
0.478767	0.452768	0.003304	0.300841	92.307692	0.232536	94.179104	
0.479448	0.451678	0.003229	0.254957	94.571314	0.196144	94.123134	
0.473927	0.447527	0.002816	0.229617	94.411058	0.178512	94.319030	
0.459931	0.433911	0.002575	0.253235	94.010417	0.198140	94.309701	
0.459274	0.429810	0.002706	0.258713	93.810096	0.202958	94.398321	
